temperature,city,pression,date
30.44,Orleans,1016,2026-07-06 16:32
33.33,Paris,1017,2026-07-06 16:31
31.85,London,1016,2026-07-06 16:31
30.07,Orleans,1016,2026-07-06 16:31
33.33,Paris,1017,2026-07-06 16:30
31.85,London,1016,2026-07-06 16:30
29.95,Orleans,1016,2026-07-06 16:30
33.33,Paris,1017,2026-07-06 16:29
31.85,London,1016,2026-07-06 16:29
29.9,Orleans,1016,2026-07-06 16:29
34.55,Paris,1017,2026-07-06 16:28
31.85,London,1016,2026-07-06 16:28
29.95,Orleans,1016,2026-07-06 16:28
34.55,Paris,1017,2026-07-06 16:27
31.85,London,1016,2026-07-06 16:27
29.9,Orleans,1016,2026-07-06 16:27
34.55,Paris,1017,2026-07-06 16:26
31.86,London,1016,2026-07-06 16:26
29.9,Orleans,1016,2026-07-06 16:26
33.33,Paris,1017,2026-07-06 16:25
31.85,London,1016,2026-07-06 16:25
29.9,Orleans,1016,2026-07-06 16:25
34.55,Paris,1017,2026-07-06 16:24
31.89,London,1016,2026-07-06 16:24
29.9,Orleans,1016,2026-07-06 16:24
33.71,Paris,1017,2026-07-06 16:22
31.79,London,1016,2026-07-06 16:22
29.9,Orleans,1016,2026-07-06 16:22
33.71,Paris,1017,2026-07-06 16:20
31.79,London,1016,2026-07-06 16:20
29.9,Orleans,1016,2026-07-06 16:20
